"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Sep-2024","EQ","507.50","512.95","505.00","505.05","508.80","509.30","508.93","632.70","390.90","10,94,796","55,71,75,527.60","39,656"
"18-Sep-2024","EQ","519.00","522.65","504.15","519.75","506.25","505.05","509.20","632.70","390.90","30,49,464","1,55,27,74,187.70","45,812"
"17-Sep-2024","EQ","520.00","521.60","514.35","519.90","518.00","519.75","518.13","632.70","390.90","5,56,829","28,85,12,157.70","16,756"
"16-Sep-2024","EQ","525.65","525.65","516.00","520.05","517.50","519.90","519.38","632.70","390.90","12,90,841","67,04,35,636.85","28,034"
"13-Sep-2024","EQ","525.40","525.40","518.80","520.05","520.00","520.05","520.94","632.70","380.20","11,84,919","61,72,71,849.60","44,099"
"12-Sep-2024","EQ","514.80","525.00","514.70","510.00","520.00","520.05","520.45","632.70","380.20","15,79,837","82,22,33,615.15","45,219"
"11-Sep-2024","EQ","519.85","523.40","506.80","518.90","510.20","510.00","512.65","632.70","380.20","31,34,860","1,60,70,93,007.35","54,637"
"10-Sep-2024","EQ","525.15","526.90","516.00","523.00","517.90","518.90","520.26","632.70","380.20","16,47,980","85,73,85,222.75","57,515"
"09-Sep-2024","EQ","526.00","528.00","513.00","523.45","521.85","523.00","520.90","632.70","380.20","9,74,521","50,76,32,751.60","44,735"
"06-Sep-2024","EQ","551.00","554.70","519.55","551.00","523.05","523.45","526.92","632.70","378.15","55,51,466","2,92,51,59,528.55","83,810"
"05-Sep-2024","EQ","541.90","574.30","523.00","536.05","558.70","551.00","539.55","632.70","378.15","37,52,194","2,02,45,01,336.45","56,047"
"04-Sep-2024","EQ","547.00","552.05","534.15","550.05","536.40","536.05","537.57","632.70","378.15","21,82,125","1,17,30,36,712.35","84,836"
"03-Sep-2024","EQ","556.00","558.40","548.30","555.85","549.20","550.05","551.65","632.70","378.15","7,51,120","41,43,54,795.70","31,579"
"02-Sep-2024","EQ","565.30","567.90","551.70","567.30","554.40","555.85","556.69","632.70","378.15","17,60,182","97,98,77,764.45","41,887"
"30-Aug-2024","EQ","564.00","575.70","557.00","561.50","563.95","567.30","564.49","632.70","374.50","11,59,804","65,46,94,580.00","25,822"
"29-Aug-2024","EQ","567.95","575.00","548.50","567.95","562.25","561.50","558.40","632.70","374.50","14,14,580","78,99,07,987.15","33,636"
"28-Aug-2024","EQ","550.00","576.00","547.00","548.85","566.95","567.95","562.37","632.70","374.50","21,99,296","1,23,68,17,940.85","49,334"
"27-Aug-2024","EQ","549.85","555.50","546.80","547.10","547.00","548.85","550.07","632.70","374.50","4,82,197","26,52,41,795.40","22,553"
"26-Aug-2024","EQ","553.35","560.00","544.00","548.35","549.00","547.10","549.69","632.70","374.50","15,83,358","87,03,61,951.65","57,291"
"23-Aug-2024","EQ","554.05","560.80","547.00","552.80","548.00","548.35","552.36","632.70","374.50","9,77,115","53,97,23,712.60","39,579"
"22-Aug-2024","EQ","555.00","559.50","551.05","552.10","553.80","552.80","554.75","632.70","374.50","13,16,796","73,04,93,886.00","42,951"
"21-Aug-2024","EQ","560.95","560.95","551.00","558.50","554.70","552.10","553.35","632.70","374.50","11,11,375","61,49,79,258.70","25,853"
"20-Aug-2024","EQ","550.05","565.00","550.05","550.00","557.95","558.50","558.51","632.70","374.50","6,38,652","35,66,96,703.45","30,197"
"19-Aug-2024","EQ","554.50","560.20","546.95","550.15","548.05","550.00","553.57","632.70","374.50","8,44,726","46,76,13,270.60","29,099"
"16-Aug-2024","EQ","546.00","562.45","545.00","550.35","549.55","550.15","554.75","632.70","374.50","7,34,213","40,73,01,716.00","29,899"
"14-Aug-2024","EQ","551.00","560.00","531.05","550.30","546.50","550.35","545.16","632.70","374.50","22,63,553","1,23,40,09,208.70","98,324"
"13-Aug-2024","EQ","562.00","566.00","547.30","558.35","550.65","550.30","554.19","632.70","374.50","10,52,887","58,35,04,523.40","37,650"
"12-Aug-2024","EQ","576.95","581.60","556.00","577.75","556.90","558.35","566.80","632.70","374.50","12,59,415","71,38,36,613.75","39,964"
"09-Aug-2024","EQ","562.50","579.00","553.00","555.70","577.70","577.75","568.52","632.70","343.35","14,38,148","81,76,12,816.50","53,179"
"08-Aug-2024","EQ","569.00","570.00","553.05","569.55","555.00","555.70","560.54","632.70","343.35","8,23,836","46,17,91,838.10","30,608"
"07-Aug-2024","EQ","569.00","572.40","559.00","565.40","568.00","569.55","567.58","632.70","343.35","12,69,029","72,02,69,923.50","37,818"
"06-Aug-2024","EQ","575.05","588.35","558.00","581.00","558.00","565.40","567.84","632.70","343.35","18,21,803","1,03,44,83,658.20","72,454"
"05-Aug-2024","EQ","578.90","585.80","565.00","595.95","573.10","581.00","574.97","632.70","343.35","26,07,067","1,49,89,81,952.30","81,463"
"02-Aug-2024","EQ","591.00","597.80","581.50","595.65","595.25","595.95","591.30","632.70","335.60","13,61,169","80,48,62,600.50","37,395"
"01-Aug-2024","EQ","605.05","613.20","590.00","608.80","596.50","595.65","602.99","632.70","335.60","13,50,860","81,45,50,381.20","52,186"
"31-Jul-2024","EQ","600.00","610.90","593.35","601.15","607.50","608.80","603.74","632.70","335.60","18,27,727","1,10,34,76,690.75","51,588"
"30-Jul-2024","EQ","594.50","604.50","587.25","587.25","600.00","601.15","596.39","632.70","335.60","25,07,716","1,49,55,71,745.20","50,213"
"29-Jul-2024","EQ","589.00","599.90","583.50","581.45","586.90","587.25","592.31","632.70","335.60","28,11,831","1,66,54,65,272.05","72,654"
"26-Jul-2024","EQ","570.00","585.00","567.25","567.65","577.55","581.45","577.98","632.70","325.10","18,44,637","1,06,61,56,617.70","49,570"
"25-Jul-2024","EQ","566.00","570.90","561.00","569.60","566.25","567.65","566.79","632.70","325.10","7,70,119","43,64,94,670.85","35,425"
"24-Jul-2024","EQ","554.95","578.75","552.40","552.40","568.50","569.60","567.08","632.70","325.10","23,95,942","1,35,86,90,659.50","64,262"
"23-Jul-2024","EQ","574.95","576.40","546.75","569.50","552.85","552.40","559.59","632.70","325.10","15,88,838","88,90,96,704.55","62,217"
"22-Jul-2024","EQ","560.05","576.50","554.00","561.15","569.45","569.50","569.21","632.70","325.10","9,95,267","56,65,12,212.25","34,584"
"19-Jul-2024","EQ","569.00","571.40","554.10","568.55","559.30","561.15","560.90","632.70","320.85","12,33,734","69,19,96,876.85","40,795"
"18-Jul-2024","EQ","587.40","588.10","566.00","587.40","567.00","568.55","575.75","632.70","320.85","21,98,694","1,26,58,97,009.35","58,534"
"16-Jul-2024","EQ","578.65","597.00","573.20","578.65","585.00","587.40","587.87","632.70","320.85","32,94,297","1,93,66,04,590.65","77,747"
"15-Jul-2024","EQ","569.00","584.50","555.75","558.75","578.50","578.65","572.51","632.70","320.85","32,17,689","1,84,21,74,651.40","68,926"
"12-Jul-2024","EQ","550.00","560.00","543.90","550.35","559.00","558.75","556.32","632.70","306.85","13,87,907","77,21,13,504.30","45,264"
"11-Jul-2024","EQ","548.50","554.90","543.00","543.00","551.15","550.35","550.27","632.70","306.85","12,02,130","66,14,97,704.10","30,334"
"10-Jul-2024","EQ","536.00","545.05","536.00","541.70","543.00","543.00","542.22","632.70","306.85","17,91,622","97,14,50,420.90","52,118"
"09-Jul-2024","EQ","527.00","545.20","525.55","526.50","539.00","541.70","539.12","632.70","306.85","17,78,493","95,88,20,663.95","42,539"
"08-Jul-2024","EQ","538.85","540.00","524.80","538.85","526.10","526.50","531.61","632.70","306.85","17,29,642","91,94,98,523.35","33,390"
"05-Jul-2024","EQ","542.00","543.90","535.00","541.55","536.30","538.85","537.26","632.70","293.60","11,59,426","62,29,17,060.10","32,560"
"04-Jul-2024","EQ","539.90","545.00","531.50","536.10","541.50","541.55","537.86","632.70","293.60","7,71,114","41,47,51,370.20","19,697"
"03-Jul-2024","EQ","539.05","540.10","532.75","537.75","535.55","536.10","536.05","632.70","293.60","8,36,258","44,82,79,918.15","30,303"
